Name,IP,Services,,
XTY_centos7_ip:74.2,192.168.74.2,ssh,,
XTY_centos7_ip:74.3,192.168.74.3,mysql,,
XTY_centos7_ip:74.4,192.168.74.4,tomcat(/usr/local/),,
XTY_centos7_ip:74.5,192.168.74.5,nginx,,
XTY_centos7_ip:74.6,192.168.74.6,postgresql,,
XTY_windows7_ip:74.8,192.168.74.8,mssql,,
XTY_winserver08_ip:74.9,192.168.74.9,sql server 2008,,
XTY_winserver12_ip:74.10,192.168.74.10,sql server 2012,,
XTY_winserver16_ip:74.11,192.168.74.11,sql server 2016,,
XTY_winserver16_ip:74.12,192.168.74.12,vCenter Server,,
XTY_centos_ip:74.13 ,192.168.74.13,Hbase,,
XTY_centos_ip:74.14,192.168.74.14,kudu,,
XTY_centos7.3_ip:74.15,192.168.74.15,mysql5.7,,
XTY_centos7.6_ip:74.16,192.168.74.16,Tomcat8.5,,
XTY_centos7_ip:74.17,192.168.74.17,oracle12c,,
XTY_redhat8.0_ip:74.18,192.168.74.18,redhat8,,
XTY_frdora_ip:74.19,192.168.74.19,jboss4.3.2GA,,
XTY_redhat4.8_ip:74.20,192.168.74.20,oracle11,,
XTY_rhel_ip:74.21,192.168.74.21,nginx1.3.9,,
XTY_ubuntu-kylin_ip:74.23 ,192.168.74.23,nginx1.4.6,,
XTY_ubuntu14.04_ip:74.24,192.168.74.24,nginx1.8.1,,
XTY_centos_ip:74.25,192.168.74.25,openstack,,
XTY_winserver08_ip:74.26,192.168.74.26,iis7+php5.4.3,,
XTY_ubuntu_ip:74.27,192.168.74.27,mongodb,,
XTY_winserver08_ip:74.28,192.168.74.28,phpmyadmin,,
XTY_win7_ip:74.29,192.168.74.29,snmp,,
XTY_win7_ip:74.30,192.168.74.30,tomcat,,
XTY_centos7_ip:74.31,192.168.74.31,solr,,
XTY_win7_ip:74.32,192.168.74.32,domino,,
XTY_redhat_ip:74.33,192.168.74.33,oracle,,
XTY_win7_ip:74.34,192.168.74.34,postgresql,,
XTY_win7_ip:74.35,192.168.74.35,sqlserver2012,,
XTY_win7_ip:74.36,192.168.74.36,VMWare Workstation,,
,,DNS_bind,,
,,mysql,,
,,phpmyadmin,,
,,nginx,,
,,vsphere client,,
XTY_win7_ip:74.37,192.168.74.37,sybase,,
XTY_win10_ip:74.38,192.168.74.38,Hyper-v,,
XTY_centos7_ip:74.39,192.168.74.39,xen,,
XTY_winserver08_ip:74.40,192.168.74.40,Resin,,
XTY_win7_ip:74.41,192.168.74.41,squid,,
XTY_centos6.3_ip:74.42,192.168.74.42,TongWeb5.0,,
XTY_centos_ip:74.43,192.168.74.43,websphere,,
,,awvs,,
,,wordpress,,
XTY_centos7_ip:74.44,192.168.74.44,kvm,,
XTY_winserver08_ip:74.45,192.168.74.45,wordpress,,
